match_id,Player 1,Player 2,Pl 1 hand,Pl 2 hand,Date,Tournament,Round,Time,Court,Surface,Umpire,Best of,Final TB?,Charted by
20221104-M-Paris_Masters-QF-Felix_Auger_Aliassime-Frances_Tiafoe,Felix Auger Aliassime,Frances Tiafoe,R,R,20221104,Paris Masters,QF,2:15 PM,Central,Hard,M. Lahyani ,3,1,BG
20221103-M-Paris_Masters-R16-Stefanos_Tsitsipas-Corentin_Moutet,Stefanos Tsitsipas,Corentin Moutet,R,L,20221103,Paris Masters,R16,7:45 PM,Central,Hard,M. Lahyani ,3,1,BG
20221103-M-Paris_Masters-R16-Pablo_Carreno_Busta-Tommy_Paul,Pablo Carreno Busta,Tommy Paul,R,R,20221103,Paris Masters,R16,,,Hard,,3,1,Ludo
20221103-M-Paris_Masters-R16-Novak_Djokovic-Karen_Khachanov,Novak Djokovic,Karen Khachanov,R,R,20221103,Paris Masters,R16,,,Hard,,3,1,Isaac
20221103-M-Paris_Masters-R16-Grigor_Dimitrov-Carlos_Alcaraz,Grigor Dimitrov,Carlos Alcaraz,R,R,20221103,Paris Masters,R16,1:50 PM,Central,Hard,G. Allensworth,3,1,BG
20221103-M-Paris_Masters-R16-Felix_Auger_Aliassime-Gilles_Simon,Felix Auger Aliassime,Gilles Simon,R,R,20221103,Paris Masters,R16,15:25,Central,Hard,Fergus Murphy,3,1,Zindaras
20221103-M-Paris_Masters-R16-Casper_Ruud-Lorenzo_Musetti,Casper Ruud,Lorenzo Musetti,R,R,20221103,Paris Masters,R16,11:10 PM,Central,Hard,A. Gabas ,3,1,BG
20221103-M-Paris_Masters-R16-Andrey_Rublev-Holger_Rune,Andrey Rublev,Holger Rune,R,R,20221103,Paris Masters,R16,,1,Hard,,3,1,Ludo
20221103-M-Paris_Masters--Casper_Ruud-Lorenzo_Musetti,Casper Ruud,Lorenzo Musetti,,,20221103,Paris_Masters,,,,Hard,,,,BG
20221102-M-Paris_Masters-R32-Yoshihito_Nishioka-Carlos_Alcaraz,Yoshihito Nishioka,Carlos Alcaraz,L,R,20221102,Paris Masters,R32,4:00 PM,Central,Hard,A. Tourte ,3,1,BG
20221102-M-Paris_Masters-R32-Taylor_Fritz-Gilles_Simon,Taylor Fritz,Gilles Simon,R,R,20221102,Paris Masters,R32,17:35,Central,Hard,Mohamed Lahyani,3,1,Zindaras
20221102-M-Paris_Masters-R32-Rafael_Nadal-Tommy_Paul,Rafael Nadal,Tommy Paul,L,R,20221102,Paris Masters,R32,9:15 PM,Central,Hard,A. Tourte,3,1,BG
20221102-M-Paris_Masters-R32-Hubert_Hurkacz-Holger_Rune,Hubert Hurkacz,Holger Rune,R,R,20221102,Paris Masters,R32,7:45 PM,1,Hard,Nacho Forcadell,3,1,Carrie
20221102-M-Paris_Masters-R32-Alex_De_Minaur-Daniil_Medvedev,Alex De Minaur,Daniil Medvedev,R,R,20221102,Paris Masters,R32,12:55 PM,Central,Hard,N. Forcadell ,3,1,BG
20221101-M-Paris_Masters-R64-Hubert_Hurkacz-Adrian_Mannarino,Hubert Hurkacz,Adrian Mannarino,R,L,20221101,Paris Masters,R64,3:25 PM,Central,Hard,Nacho Forcadell,3,1,Carrie
20221101-M-Paris_Masters-R32-Novak_Djokovic-Maxime_Cressy,Novak Djokovic,Maxime Cressy,R,R,20221101,Paris Masters,R32,4:30 PM,Central,Hard,F. Murphy,3,1,BG
20221101-M-Paris_Masters-R32-Casper_Ruud-Richard_Gasquet,Casper Ruud,Richard Gasquet,R,R,20221101,Paris Masters,R32,,Central,Hard,,3,1,Ludo
20221101-M-Paris_Masters-R32-Andrey_Rublev-John_Isner,Andrey Rublev,John Isner,R,R,20221101,Paris Masters,R32,,Central,Hard,,3,1,Ludo
20221031-M-Paris_Masters-R64-Yoshihito_Nishioka-Aslan_Karatsev,Yoshihito Nishioka,Aslan Karatsev,L,R,20221031,Paris Masters,R64,,1,Hard,,3,1,Ludo
20221031-M-Paris_Masters-R64-Sebastian_Korda-Alex_De_Minaur,Sebastian Korda,Alex De Minaur,R,R,20221031,Paris Masters,R64,11:05 PM,Centre,Hard,M. Lahyani ,3,1,BG
20221031-M-Paris_Masters-R64-Sebastian_Baez-Karen_Khachanov,Sebastian Baez,Karen Khachanov,R,R,20221031,Paris Masters,R64,,1,Hard,,3,1,Ludo
20221031-M-Paris_Masters-R64-Maxime_Cressy-Diego_Schwartzman,Maxime Cressy,Diego Schwartzman,R,R,20221031,Paris Masters,R64,,1,Hard,,3,1,Ludo
20221031-M-Paris_Masters-R64-Marin_Cilic-Lorenzo_Musetti,Marin Cilic,Lorenzo Musetti,R,R,20221031,Paris Masters,R64,,1,Hard,,3,1,Ludo
20221031-M-Paris_Masters-R64-Lorenzo_Sonego-Frances_Tiafoe,Lorenzo Sonego,Frances Tiafoe,R,R,20221031,Paris Masters,R64,,1,Hard,,3,1,Ludo
20221031-M-Paris_Masters-R64-Andy_Murray-Gilles_Simon,Andy Murray,Gilles Simon,R,R,20221031,Paris Masters,R64,19:50,Central,Hard,Fergus Murphy,3,1,Zindaras
20221029-M-Vienna-SF-Grigor_Dimitrov-Daniil_Medvedev,Grigor Dimitrov,Daniil Medvedev,R,R,20221029,Vienna,SF,,,Hard,M.Messina,3,1,Ludo
20221029-M-Vienna-SF-Denis_Shapovalov-Borna_Coric,Denis Shapovalov,Borna Coric,L,R,20221029,Vienna,SF,,,Hard,,3,1,Ludo
20221029-M-Basel-SF-Felix_Auger_Aliassime-Carlos_Alcaraz,Felix Auger Aliassime,Carlos Alcaraz,R,R,20221029,Basel,SF,,,Hard,,3,1,Ludo
20221028-M-Vienna-QF-Jannik_Sinner-Daniil_Medvedev,Jannik Sinner,Daniil Medvedev,R,R,20221028,Vienna,QF,,,Hard,,3,1,Ludo
20221028-M-Vienna-QF-Hubert_Hurkacz-Borna_Coric,Hubert Hurkacz,Borna Coric,R,R,20221028,Vienna,QF,7:15 PM,Center,Hard,Manuel Messina,3,1,Carrie
20221028-M-Vienna-QF-Daniel_Evans-Denis_Shapovalov,Daniel Evans,Denis Shapovalov,R,L,20221028,Vienna,QF,,,Hard,,3,1,Ludo
20221028-M-Basel-QF-Stan_Wawrinka-Roberto_Bautista_Agut,Stan Wawrinka,Roberto Bautista Agut,R,R,20221028,Basel,QF,,,Hard,,3,1,Ludo
20221028-M-Basel-QF-Alexander_Bublik-Felix_Auger_Aliassime,Alexander Bublik,Felix Auger Aliassime,R,R,20221028,Basel,QF,,,Hard,,3,1,Ludo
20221027-M-Vienna-R16-Hubert_Hurkacz-Emil_Ruusuvuori,Hubert Hurkacz,Emil Ruusuvuori,R,R,20221027,Vienna,R16,3:55 PM,Glaubandich Court,Hard,Renaud Lichtenstein,3,1,Carrie
20221027-M-Vienna-R16-Grigor_Dimitrov-Andrey_Rublev,Grigor Dimitrov,Andrey Rublev,R,R,20221027,Vienna,R16,,,Hard,,3,1,Ludo
20221027-M-Vienna-R16-Dominic_Thiem-Daniil_Medvedev,Dominic Thiem,Daniil Medvedev,R,R,20221027,Vienna,R16,,,Hard,,3,1,Ludo
20221027-M-Basel-R16-Alexander_Bublik-Albert_Ramos,Alexander Bublik,Albert Ramos,R,L,20221027,Basel,R16,,1,Hard,,3,1,Ludo
20221026-M-Vienna-R32-Jannik_Sinner-Cristian_Garin,Jannik Sinner,Cristian Garin,R,R,20221026,Vienna,R32,,,Hard,,3,1,Ludo
20221026-M-Vienna-R32-Daniil_Medvedev-Nikoloz_Basilashvili,Daniil Medvedev,Nikoloz Basilashvili,R,R,20221026,Vienna,R32,,,Hard,,3,1,Ludo
20221026-M-Vienna-R16-Taylor_Fritz-Denis_Shapovalov,Taylor Fritz,Denis Shapovalov,R,L,20221026,Vienna,R16,,,Hard,,3,1,Ludo
20221026-M-Vienna-R16-Karen_Khachanov-Daniel_Evans,Karen Khachanov,Daniel Evans,R,R,20221026,Vienna,R16,,Glaubandich,Hard,,3,1,Ludo
20221026-M-Basel-R16-Botic_Van_De_Zandschulp-Carlos_Alcaraz,Botic Van De Zandschulp,Carlos Alcaraz,R,R,20221026,Basel,R16,8:25 PM,Centre,Hard,R. Haigh,3,1,BG
20221025-M-Vienna-R32-Hubert_Hurkacz-Frances_Tiafoe,Hubert Hurkacz,Frances Tiafoe,R,R,20221025,Vienna,R32,10:00 PM,Center,Hard,Fergus Murphy,3,1,Carrie
20221025-M-Vienna-R32-Grigor_Dimitrov-Thiago_Monteiro,Grigor Dimitrov,Thiago Monteiro,R,L,20221025,Vienna,R32,,,Hard,,3,1,Ludo
20221025-M-Brest_CH-R32-Laurent_Lokoli-Gilles_Simon,Laurent Lokoli,Gilles Simon,R,R,20221025,Brest CH,R32,,,Hard,,3,1,Zindaras
20221025-M-Brest_CH-R32-Benjamin_Bonzi-Gabriel_Decamps,Benjamin Bonzi,Gabriel Decamps,R,R,20221025,Brest CH,R32,,Central,Hard,,3,1,Zindaras
